match_id,player_slot,hero_id,kills,deaths,assists,gold_per_min,xp_per_min,last_hits,denies,hero_damage,tower_damage,hero_healing,level
8565426161,0,52,23,5,15,711,948,257,2,39748,2846,0,25
8565426161,1,64,8,6,30,441,612,93,0,15183,6239,525,20
8565426161,2,8,7,3,8,733,1024,400,8,18754,10970,5023,25
8565426161,3,81,13,9,11,574,996,179,12,25175,797,0,25
8565426161,4,128,7,3,29,435,624,89,5,17730,1084,1875,20
8565426161,128,34,1,14,19,509,651,247,2,29122,0,289,21
8565426161,129,120,6,11,5,548,837,250,11,14008,0,0,23
8565426161,130,31,4,14,16,366,380,52,5,20378,0,0,15
8565426161,131,87,2,11,17,358,518,76,1,17934,0,0,18
8565426161,132,104,11,9,7,463,630,158,3,26781,0,1253,20
8565426161,0,52,23,5,15,711,948,257,2,39748,2846,0,25,2025-11-18 22:28:00
8565426161,1,64,8,6,30,441,612,93,0,15183,6239,525,20,2025-11-18 22:28:00
8565426161,2,8,7,3,8,733,1024,400,8,18754,10970,5023,25,2025-11-18 22:28:00
8565426161,3,81,13,9,11,574,996,179,12,25175,797,0,25,2025-11-18 22:28:00
8565426161,4,128,7,3,29,435,624,89,5,17730,1084,1875,20,2025-11-18 22:28:00
8565426161,128,34,1,14,19,509,651,247,2,29122,0,289,21,2025-11-18 22:28:00
8565426161,129,120,6,11,5,548,837,250,11,14008,0,0,23,2025-11-18 22:28:00
8565426161,130,31,4,14,16,366,380,52,5,20378,0,0,15,2025-11-18 22:28:00
8565426161,131,87,2,11,17,358,518,76,1,17934,0,0,18,2025-11-18 22:28:00
8565426161,132,104,11,9,7,463,630,158,3,26781,0,1253,20,2025-11-18 22:28:00
8565363948,0,114,18,4,19,717,1109,583,26,68330,10814,0,30,2025-11-18 22:28:00
8565363948,1,45,7,10,29,407,603,121,1,28239,7028,22052,25,2025-11-18 22:28:00
8565363948,2,26,4,15,17,326,469,93,0,14932,649,975,22,2025-11-18 22:28:00
