hero_id,hero_name,total_games,wins,winrate,winrate_pct,picks,pickrate,pickrate_pct
138,Muerta,96,52,54.17,54.17%,96,3.5,3.5%
33,Enigma,88,39,44.32,44.32%,88,3.21,3.21%
4,Bloodseeker,86,33,38.37,38.37%,86,3.14,3.14%
79,Shadow Demon,85,37,43.53,43.53%,85,3.1,3.1%
43,Death Prophet,85,42,49.41,49.41%,85,3.1,3.1%
58,Enchantress,83,45,54.22,54.22%,83,3.03,3.03%
120,Pangolier,82,42,51.22,51.22%,82,2.99,2.99%
107,Earth Spirit,82,41,50.0,50.0%,82,2.99,2.99%
3,Bane,80,41,51.25,51.25%,80,2.92,2.92%
113,Arc Warden,80,35,43.75,43.75%,80,2.92,2.92%
69,Doom,78,37,47.44,47.44%,78,2.84,2.84%
57,Omniknight,78,39,50.0,50.0%,78,2.84,2.84%
108,Underlord,67,34,50.75,50.75%,67,2.44,2.44%
90,Keeper of the Light,66,33,50.0,50.0%,66,2.41,2.41%
82,Meepo,62,31,50.0,50.0%,62,2.26,2.26%
77,Lycan,58,28,48.28,48.28%,58,2.12,2.12%
65,Batrider,54,26,48.15,48.15%,54,1.97,1.97%
80,Lone Druid,51,24,47.06,47.06%,51,1.86,1.86%
92,Visage,41,20,48.78,48.78%,41,1.5,1.5%
89,Naga Siren,41,22,53.66,53.66%,41,1.5,1.5%
55,Dark Seer,39,24,61.54,61.54%,39,1.42,1.42%
103,Elder Titan,27,12,44.44,44.44%,27,0.98,0.98%
78,Brewmaster,25,13,52.0,52.0%,25,0.91,0.91%
66,Chen,17,8,47.06,47.06%,17,0.62,0.62%
